analytical_role,Stable Core,Control Pressure,Action Failure,Structural Ambiguity
Extreme Impact Tail,0.0,3.7037037037037033,88.88888888888889,7.4074074074074066
Extreme Volatility Tail,0.0,0.0,94.73684210526315,5.263157894736842
High-Impact Profit Cluster,13.008130081300814,47.96747967479675,37.39837398373984,1.6260162601626018
Loss Tail,11.538461538461538,7.6923076923076925,69.23076923076923,11.538461538461538
Risk-Oriented Profit Cluster,0.0,0.0,98.55072463768117,1.4492753623188406
Stable Loss Cluster,1.0416666666666665,21.614583333333336,73.17708333333334,4.166666666666666
Stable Profit Cluster,79.0529695024077,10.834670947030498,8.98876404494382,1.1235955056179776
