boundary_case,lower_quantile,upper_quantile,body_products,tail_products,body_retention_rate,tail_share,smallest_cluster_products_k4,smallest_cluster_share_k4,silhouette_score_k4,silhouette_gap_from_best,silhouette_change_vs_no_separation,selected_boundary
No separation,0.0,1.0,1894,0,1.0,0.0,1,0.0005279831045406547,0.5972615287724242,0.0,0.0,False
0.5%–99.5%,0.005,0.995,1867,27,0.9857444561774024,0.014255543822597676,59,0.03160149973219068,0.5691273389900342,0.028134189782390018,-0.028134189782390018,False
1%–99%,0.01,0.99,1822,72,0.9619852164730729,0.03801478352692714,69,0.03787047200878156,0.5568066860620804,0.04045484271034383,-0.04045484271034383,True
2.5%–97.5%,0.025,0.975,1721,173,0.9086589229144667,0.09134107708553327,108,0.06275421266705404,0.5506505021742314,0.04661102659819283,-0.04661102659819283,False
5%–95%,0.05,0.95,1574,320,0.8310454065469906,0.1689545934530095,125,0.07941550190597205,0.5423651922108415,0.05489633656158277,-0.05489633656158277,False
